id	name	formula	charge	inchikey	smiles	deltag	kegg id	ms id
xcpd__4471_c0		C12H11N2O2PS						
xcpd__4472_c0		C10H14O5S2						
xcpd__4475_c0		C13H10O7						
xcpd__4476_c0		C12H11N2O4P						
xcpd__4477_c0		C10H14O7S						
xcpd__4479_c0		C12H10N2O6						
xcpd__4481_c0		C10H14O9						
xcpd__4483_c0		C14H14O6						
xcpd__4484_c0		C11H18O6S						
xcpd__4485_c0		C13H14N2O5						
xcpd__4488_c0		C11H18O8						
xcpd__4492_c0		C9H19N4O4P						
xcpd__4493_c0		C15H18O5						
xcpd__4494_c0		C12H22O5S						
xcpd__4495_c0		C14H18N2O4						
xcpd__4497_c0		C12H22O7						
xcpd__4498_c0		C16H22O4						
xcpd__4500_c0		C7H9N3O5S2						
xcpd__4502_c0		C12H9NO7						
xcpd__4507_c0		C13H13NO6						
xcpd__4509_c0		C12H13N3O5						
xcpd__4511_c0		C14H17NO5						
xcpd__4525_c0		C12H8O8						
xcpd__4529_c0		C13H12O5S						
xcpd__4533_c0		C7H13N4O6P						
xcpd__4534_c0		C13H12O7						
xcpd__4535_c0		C10H16O7S						
xcpd__4536_c0		C12H12N2O6						
xcpd__4540_c0		C10H16O9						
xcpd__4543_c0		C14H16O6						
xcpd__4544_c0		C11H20O6S						
xcpd__4546_c0		C13H16N2O5						
xcpd__4549_c0		C11H20O8						
xcpd__4553_c0		C15H20O5						
xcpd__4556_c0		C16H24O4						
xcpd__4557_c0		C13H28O4S						
xcpd__4560_c0		C12H11NO5S						
xcpd__4561_c0		C12H11NO7						
xcpd__4565_c0		C13H15NO6						
xcpd__4567_c0		C14H19NO5						
xcpd__4571_c0		C8H11O5PS2						
xcpd__4573_c0		C12H10O8						
xcpd__4576_c0		C13H14O5S						
xcpd__4580_c0		C13H14O7						
xcpd__4581_c0		C10H18O7S						
xcpd__4582_c0		C12H14N2O6						
xcpd__4583_c0		C10H19O7P						
xcpd__4586_c0		C14H18O4S						
xcpd__4588_c0		C14H18O6						
xcpd__4589_c0		C11H22O6S						
xcpd__4590_c0		C11H22O6S						
xcpd__4591_c0		C13H18N2O5						
xcpd__4594_c0		C15H22O3S						
xcpd__4597_c0		C15H22O5						
xcpd__4599_c0		C16H26O4						
xcpd__4600_c0		C12H13NO5S						
xcpd__4602_c0		C12H13NO7						
xcpd__4605_c0		C13H17NO6						
xcpd__4607_c0		C12H17N3O5						
xcpd__4609_c0		C14H21NO5						
xcpd__4614_c0		C12H12O6S						
xcpd__4615_c0		C12H12O8						
xcpd__4616_c0		C11H12N2O7						
xcpd__4617_c0		C16H12O5						
xcpd__4619_c0		C13H16O5S						
xcpd__4620_c0		C9H16O10						
xcpd__4622_c0		C10H12N4O6						
xcpd__4626_c0		C13H16O7						
xcpd__4627_c0		C10H20O7S						
xcpd__4628_c0		C12H16N2O6						
xcpd__4630_c0		C14H20O4S						
xcpd__4634_c0		C14H20O6						
xcpd__4635_c0		C15H24O3S						
xcpd__4636_c0		C15H24O5						
xcpd__4637_c0		C16H28O4						
xcpd__4640_c0		C18H36O2						
xcpd__4644_c0		C11H11NO6S						
xcpd__4645_c0		C11H11NO6S						
xcpd__4646_c0		C11H11NO8						
xcpd__4653_c0		C12H15NO7						
xcpd__4656_c0		C9H20NO7P						
xcpd__4658_c0		C13H19NO6						
xcpd__4663_c0		C11H10O9						
xcpd__4664_c0		C15H10O6						
xcpd__4666_c0		C12H14O6S						
xcpd__4668_c0		C11H14N2O5S						
xcpd__4669_c0		C12H14O8						
xcpd__4673_c0		C13H18O5S						
xcpd__4677_c0		C13H18O7						
xcpd__4678_c0		C12H18N2O6						
xcpd__4680_c0		C17H18O4						
xcpd__4681_c0		C14H22O4S						
xcpd__4682_c0		C14H22O4S						
xcpd__4684_c0		C14H22O6						
xcpd__4685_c0		C15H26O5						
xcpd__4687_c0		C16H30O4						
xcpd__4690_c0		C11H13NO6S						
xcpd__4692_c0		C11H13NO8						
xcpd__4694_c0		C15H13NO5						
xcpd__4697_c0		C12H17NO7						
xcpd__4708_c0		C11H12O7S						
xcpd__4711_c0		C11H12O9						
xcpd__4712_c0		C15H12O6						
xcpd__4713_c0		C12H16O6S						
xcpd__4715_c0		C12H16O8						
xcpd__4718_c0		C11H16N2O7						
xcpd__4719_c0		C16H16O5						
xcpd__4720_c0		C13H20O5S						
xcpd__4722_c0		C15H16N2O4						
xcpd__4724_c0		C13H20O7						
xcpd__4725_c0		C17H20O4						
xcpd__4729_c0		C14H24O6						
xcpd__4730_c0		C15H28O5						
xcpd__4731_c0		C14H11NO6						
xcpd__4732_c0		C11H15NO6S						
xcpd__4733_c0		C11H15NO6S						
xcpd__4734_c0		C13H11N3O5						
xcpd__4736_c0		C11H15NO8						
xcpd__4740_c0		C15H15NO5						
xcpd__4741_c0		C12H19NO7						
xcpd__4752_c0		C14H10O7						
xcpd__4753_c0		C11H14O7S						
xcpd__4755_c0		C8H19O7PS						
xcpd__4756_c0		C11H14O9						
xcpd__4758_c0		C15H14O6						
xcpd__4759_c0		C12H18O6S						
xcpd__4761_c0		C14H14N2O5						
xcpd__4765_c0		C12H18O8						
xcpd__4768_c0		C16H18O5						
xcpd__4770_c0		C15H19N2O2P						
xcpd__4771_c0		C13H22O5S						
xcpd__4772_c0		C15H18N2O4						
xcpd__4774_c0		C13H22O7						
xcpd__4777_c0		C17H22O4						
xcpd__4785_c0		C13H10NOPS2						
xcpd__4788_c0		C13H9NO7						
xcpd__4790_c0		C10H13NO7S						
xcpd__4792_c0		C14H13NO6						
xcpd__4793_c0		C14H13NO6						
xcpd__4797_c0		C11H17NO8						
xcpd__4799_c0		C15H17NO5						
xcpd__4800_c0		C12H21NO7						
xcpd__4805_c0		C13H8O8						
xcpd__4808_c0		C18H4N4O						
xcpd__4809_c0		C14H12O5S						
xcpd__4811_c0		C11H16O5S2						
xcpd__4813_c0		C14H12O7						
xcpd__4814_c0		C11H16O7S						
xcpd__4816_c0		C13H12N2O6						
xcpd__4820_c0		C11H16O9						
xcpd__4823_c0		C15H16O6						
xcpd__4824_c0		C12H20O6S						
xcpd__4825_c0		C14H16N2O5						
xcpd__4827_c0		C16H20O3S						
xcpd__4828_c0		C12H20O8						
xcpd__4830_c0		C16H20O5						
xcpd__4831_c0		C13H24O5S						
xcpd__4833_c0		C15H20N2O4						
xcpd__4837_c0		C17H24O4						
xcpd__4843_c0		C13H11NO7						
xcpd__4846_c0		C10H15NO9						
xcpd__4847_c0		C11H11N5O5						
xcpd__4849_c0		C14H15NO6						
xcpd__4853_c0		C11H19NO8						
xcpd__4854_c0		C15H19NO5						
xcpd__4858_c0		C14H31NO5						
xcpd__4866_c0		C13H10O8						
xcpd__4867_c0		C10H14O8S						
xcpd__4868_c0		C12H10N2O7						
xcpd__4870_c0		C14H14O5S						
xcpd__4873_c0		C14H14O7						
xcpd__4874_c0		C13H15N2O4P						
xcpd__4875_c0		C11H18O7S						
xcpd__4877_c0		C13H14N2O6						
xcpd__4879_c0		C15H18O4S						
xcpd__4880_c0		C11H18O9						
xcpd__4883_c0		C15H18O6						
