formula,init
C12H16O9,1
C9H20O9S,1
C16H16O6,1
C13H20O6S,1
C15H16N2O5,1
C13H20O8,1
C17H20O5,1
C14H24O7,1
C18H24O4,1
C14H11NO7,1
C11H15NO9,1
C15H15NO6,1
C12H19NO8,1
C16H19NO5,1
C13H23NO7,1
C14H10O6S,1
C14H10O8,1
C11H14O8S,1
C13H10N2O7,1
C11H14O10,1
C15H14O7,1
C12H18O7S,1
C14H14N2O6,1
C12H18O9,1
C16H18O6,1
C13H22O6S,1
C15H18N2O5,1
C13H22O8,1
C17H22O5,1
C16H22N2O4,1
C18H26O4,1
C13H9NO8,1
C10H13NO8S,1
C14H13NO7,1
C13H13N3O6,1
C11H17NO9,1
C15H17NO6,1
C12H21NO8,1
C16H21NO5,1
C13H25NO7,1
C13H8O9,1
C18H4N4O2,1
C14H12O6S,1
C14H12O8,1
C11H16O8S,1
C13H12N2O7,1
C15H16O5S,1
C11H16O10,1
C15H16O7,1
C12H20O7S,1
C14H16N2O6,1
C16H20O4S,1
C12H20O9,1
C16H20O6,1
C13H24O6S,1
C15H20N2O5,1
C17H24O3S,1
C17H24O5,1
C14H28O5S,1
C18H28O4,1
C15H32O4S,1
C15H33O4P,1
C13H11NO6S,1
C13H11NO8,1
C14H15NO7,1
C13H15N3O6,1
C11H19NO9,1
C15H19NO6,1
C12H23NO8,1
C16H23NO5,1
C12H11N2O4PS,1
C13H10O9,1
C14H14O6S,1
C14H14O8,1
C11H18O8S,1
C11H18O8S,1
C13H14N2O7,1
C15H18O5S,1
C11H18O10,1
C15H19O5P,1
C15H18O7,1
C12H22O7S,1
C12H22O7S,1
C14H18N2O6,1
C16H22O4S,1
C12H22O9,1
C16H22O6,1
C13H26O6S,1
C17H26O3S,1
C17H26O5,1
C14H30O5S,1
C14H31O5P,1
C18H30O4,1
C13H13NO8,1
C12H13N3O7,1
C13H17N3O6,1
C15H21NO6,1
C16H8O7,1
C13H12O7S,1
C13H12O9,1
C10H16O9S,1
C10H16O9S,1
C12H12N2O8,1
C17H12O6,1
C14H16O6S,1
C8H17N4O7P,1
C14H16O8,1
C11H20O8S,1
C11H20O8S,1
C13H16N2O7,1
C15H20O5S,1
C15H21O5P,1
C15H20O7,1
C12H24O7S,1
C14H20N2O6,1
C19H20O4,1
C16H24O4S,1
C16H24O6,1
C15H24N2O5,1
C17H28O3S,1
C17H28O5,1
C18H32O4,1
C12H11NO7S,1
C12H11NO9,1
C15H12N3O3P,1
C13H15NO6S,1
C13H16NO6P,1
C13H15NO8,1
C17H15NO5,1
C15H23NO6,1
C15H7O4PS,1
C12H10O10,1
C12H10O10,1
C16H10O7,1
C13H14O7S,1
C7H14N4O8S,1
C12H14N2O6S,1
C13H14O9,1
C10H19O9P,1
C17H14O6,1
C14H18O6S,1
C11H22O6S2,1
C16H14N2O5,1
C14H18O8,1
C13H18N2O7,1
C18H18O5,1
C15H22O5S,1
C15H22O7,1
C19H22O4,1
C16H26O4S,1
C10H27N4O5P,1
C16H26O6,1
C17H30O5,1
C18H34O4,1
C12H13NO9,1
C13H18NO4PS,1
C16H13NO6,1
C13H17NO6S,1
C13H17NO8,1
C12H17N3O7,1
C17H17NO5,1
C14H21NO5S,1
C14H21NO7,1
C15H8O8,1
C12H12O8S,1
C9H16O8S2,1
C12H12O10,1
C16H12O7,1
C13H16O7S,1
C10H20O7S2,1
C13H16O9,1
C10H20O9S,1
C12H16N2O8,1
C10H21O9P,1
C17H16O6,1
C14H20O6S,1
C14H20O8,1
C18H20O5,1
C15H24O5S,1
C15H24O7,1
C19H24O4,1
C16H28O6,1
C17H32O5,1
C15H11NO7,1
C12H15NO7S,1
C12H16NO7P,1
C12H15NO9,1
C16H15NO6,1
C15H15N3O5,1
C13H19NO8,1
C17H19NO5,1
C14H23NO7,1
C15H10O8,1
C12H14O8S,1
C12H14O10,1
C11H15N2O7P,1
C16H14O7,1
C13H18O7S,1
C15H14N2O6,1
C13H18O9,1
C17H18O6,1
C14H22O6S,1
C14H22O8,1
C18H22O5,1
C15H26O5S,1
C15H26O7,1
C19H26O4,1
C16H34N2O4,1
C11H13NO8S,1
C15H13NO7,1
C12H17NO7S,1
C14H13N3O6,1
C12H17NO9,1
C16H17NO6,1
C15H17N3O5,1
C13H21NO8,1
C17H21NO5,1
C15H12O8,1
C12H16O8S,1
C14H12N2O7,1
C16H16O5S,1
C12H16O10,1
C16H16O7,1
C13H20O7S,1
C15H16N2O6,1
C13H20O9,1
C17H20O6,1
C14H24O6S,1
C16H20N2O5,1
C14H24O8,1
C18H24O5,1
C17H24N2O4,1
C15H29O5P,1
C19H28O4,1
C14H11NO8,1
C11H15NO10,1
C15H15NO7,1
C14H15N3O6,1
C12H19NO9,1
C16H19NO6,1
C13H23NO8,1
C16H35NO5,1
C14H10O9,1
C15H14O6S,1
C15H14O8,1
C12H18O8S,1
C14H14N2O7,1
C12H18O10,1
C16H18O7,1
C13H22O7S,1
C15H18N2O6,1
C17H22O4S,1
C13H22O9,1
C17H22O6,1
C14H26O6S,1
C16H22N2O5,1
C18H26O3S,1
C18H26O5,1
C15H31O5P,1
C15H30O7,1
C19H30O4,1
C16H34O4S,1
C16H10N3OPS,1
C14H13NO8,1
C15H17NO7,1
C14H17N3O6,1
C12H21NO9,1
C13H25NO6S,1
C13H25NO8,1
C18H4N4O3,1
C14H12O9,1
C14H12O9,1
C13H12N2O8,1
C15H16O6S,1
C11H16O11,1
C15H16O8,1
C12H20O8S,1
C14H16N2O7,1
C12H21O8P,1
C16H20O5S,1
C12H20O10,1
C16H20O7,1
C15H21N2O4P,1
C13H24O7S,1
C13H24O7S,1
C15H20N2O6,1
C17H24O4S,1
C17H24O6,1
C14H28O6S,1
C18H28O3S,1
C18H28O5,1
C13H11NO9,1
C14H15NO8,1
C15H19NO7,1
C14H19N3O6,1
C16H23NO6,1
C13H27NO8,1
C18H31NO4,1
C13H10O10,1
C10H15O10P,1
C14H14O7S,1
C14H14O9,1
C11H18O9S,1
C13H14N2O8,1
C18H14O6,1
C15H18O6S,1
C12H14N4O7,1
C15H18O8,1
C12H22O8S,1
C14H18N2O7,1
C12H23O8P,1
C16H22O5S,1
C16H22O7,1
C13H26O7S,1
C13H26O7S,1
C15H22N2O6,1
C15H22N2O6,1
C13H27O7P,1
C17H26O4S,1
C17H26O4S,1
C17H26O6,1
C18H30O3S,1
C12H30N4O4S,1
C18H30O5,1
C19H34O4,1
C13H13NO7S,1
C13H13NO9,1
C17H13NO6,1
C14H17NO8,1
C15H21NO7,1
C14H21N3O6,1
C16H25NO6,1
C13H12O8S,1
C13H12O10,1
C10H17O10P,1
C17H12O7,1
C14H16O7S,1
C14H16O7S,1
C18H17O2PS,1
C14H16O9,1
C11H20O9S,1
C13H16N2O8,1
C11H21O9P,1
C18H16O6,1
C15H20O6S,1
C15H20O8,1
C14H20N2O7,1
C19H20O5,1
C16H24O5S,1
C16H24O7,1
C20H24O4,1
C17H28O4S,1
C11H29N4O5P,1
C11H29N4O5P,1
C17H28O6,1
C18H32O5,1
C19H36O4,1
C16H11NO7,1
C13H15NO7S,1
C13H15NO9,1
C14H19NO8,1
C13H19N3O7,1
C18H19NO5,1
C15H23NO7,1
C16H27NO6,1
C17H32NO3P,1
C16H11O4PS,1
C16H10O8,1
C13H14O8S,1
C10H18O8S2,1
C17H15O3PS,1
C13H14O10,1
C10H18O10S,1
C17H14O7,1
C14H18O7S,1
C11H22O7S2,1
C14H18O9,1
C11H22O9S,1
C13H18N2O8,1
C18H18O6,1
C15H22O6S,1
C15H22O8,1
C12H27O8P,1
C19H22O5,1
C16H26O5S,1
C16H27O5P,1
C17H23N4OP,1
C10H27N4O6P,1
C16H26O7,1
C20H26O4,1
C17H30O6,1
C18H34O5,1
C18H34O5,1
C12H13NO8S,1
C12H13NO10,1
C16H13NO7,1
C13H17NO7S,1
C13H17NO9,1
C17H17NO6,1
C14H21NO6S,1
C14H21NO8,1
C18H21NO5,1
C17H34NO3P,1
C16H13O4PS,1
C12H12O11,1
C16H12O8,1
C13H16O8S,1
C17H17O3PS,1
C13H16O10,1
C10H20O10S,1
C17H16O7,1
C14H20O7S,1
C14H20O9,1
C13H21N2O6P,1
C18H20O6,1
C15H24O6S,1
C17H20N2O5,1
C15H24O8,1
C19H24O5,1
C16H28O7,1
C20H28O4,1
C15H11NO8,1
C12H15NO8S,1
C14H11N3O7,1
C12H15NO10,1
C16H15NO7,1
C13H20NO7P,1
C13H20NO7P,1
C13H19NO9,1
C17H19NO6,1
C14H24NO6P,1
C14H23NO8,1
C15H10O9,1
C12H14O9S,1
C12H14O11,1
C16H14O8,1
C13H18O8S,1
C15H14N2O7,1
C13H18O10,1
C17H18O7,1
C14H22O7S,1
C14H22O9,1
C18H22O6,1
C15H26O6S,1
C17H22N2O5,1
C15H27O6P,1
C19H26O5,1
C20H30O4,1
C16H34N2O5,1
C19H5N5O2,1
C15H13NO8,1
C14H13N3O7,1
C12H18NO8P,1
C12H17NO10,1
C16H17NO7,1
C13H22NO7P,1
C13H21NO9,1
C17H21NO6,1
C15H4N4O4S,1
C8H17O8PS2,1
C19H4N4OS,1
C15H12O9,1
C12H16O9S,1
C14H12N2O8,1
C12H17O9P,1
C16H16O6S,1
C16H16O8,1
C15H17N2O5P,1
C13H20O8S,1
C15H16N2O7,1
C13H20O10,1
C17H20O7,1
C14H24O7S,1
C16H20N2O6,1
C14H25O7P,1
C18H24O6,1
C15H29O6P,1
C15H28O8,1
C19H28O5,1
C16H32O5S,1
C20H33O2P,1
C17H37O4P,1
C12H8N3O7P,1
C14H11NO9,1
C15H15NO8,1
C12H20NO8P,1
C12H19NO10,1
C16H19NO7,1
C17H23NO6,1
C14H10O10,1
C11H15O10P,1
C15H14O7S,1
C15H14O9,1
C14H14N2O8,1
C12H19O9P,1
C16H18O6S,1
C12H18O11,1
C16H18O8,1
C13H22O8S,1
C15H18N2O7,1
C17H22O5S,1
C13H22O10,1
C17H22O7,1
C14H26O7S,1
C16H22N2O6,1
C18H26O4S,1
C18H26O6,1
C15H31O6P,1
C19H30O3S,1
C19H30O5,1
C16H34O5S,1
C14H13NO9,1
C15H17NO8,1
C12H21NO8S,1
C16H21NO7,1
C17H25NO6,1
C14H12O10,1
C12H12N4O6S,1
C11H17O10P,1
C15H16O7S,1
C15H16O7S,1
C9H16N4O8S,1
C15H16O9,1
C12H20O9S,1
C14H16N2O8,1
C19H16O6,1
C16H20O6S,1
C16H20O8,1
C15H21N2O5P,1
C15H20N2O7,1
C13H25O8P,1
C20H20O5,1
C17H24O5S,1
C17H24O7,1
C16H24N2O6,1
C18H28O4S,1
C18H28O6,1
C19H32O3S,1
C19H32O5,1
C17H11NO7,1
C14H15NO9,1
C13H15N3O8,1
C15H19NO8,1
C14H19N3O7,1
C12H24NO8P,1
C16H23NO7,1
